   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      403    0.001    0.000    0.325    0.001 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:358(_get_backend_mod)
      402    0.003    0.000    0.325    0.001 /usr/lib/python3.14/site-packages/matplotlib/axis.py:761(_set_scale)
      4/1    0.000    0.000    0.324    0.324 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:372(switch_backend)
        3    0.000    0.000    0.321    0.107 /usr/lib/python3.14/site-packages/matplotlib/backends/registry.py:302(load_backend_module)
     8997    0.040    0.000    0.318    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:805(from_extents)
      402    0.006    0.000    0.317    0.001 /usr/lib/python3.14/site-packages/matplotlib/scale.py:120(set_default_locators_and_formatters)
    23993    0.032    0.000    0.316    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:1341(__add__)
        1    0.000    0.000    0.312    0.312 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_gtk4agg.py:1(<module>)
    22604    0.122    0.000    0.312    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:750(__init__)
   677595    0.311    0.000    0.311    0.000 {method 'items' of 'dict' objects}
     7941    0.177    0.000    0.309    0.000 /usr/lib/python3.14/inspect.py:790(cleandoc)
     4611    0.019    0.000    0.307    0.000 /usr/lib/python3.14/site-packages/matplotlib/text.py:1316(set_fontproperties)
        1    0.000    0.000    0.306    0.306 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_gtk4.py:1(<module>)
  471/445    0.002    0.000    0.295    0.001 <frozen importlib._bootstrap>:809(module_from_spec)
        1    0.000    0.000    0.293    0.293 /usr/lib/python3.14/site-packages/matplotlib/text.py:1(<module>)
   610921    0.276    0.000    0.276    0.000 {function RcParams.__getitem__ at 0x7ff00a4c7e20}
    23993    0.060    0.000    0.275    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:2499(composite_transform_factory)
      200    0.017    0.000    0.268    0.001 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:2962(autoscale_view)
     8000    0.016    0.000    0.261    0.000 /usr/lib/python3.14/site-packages/matplotlib/markers.py:220(__init__)
     3807    0.005    0.000    0.258    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1215(update)
    10617    0.131    0.000    0.252    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:179(__init__)
51840/51836    0.065    0.000    0.251    0.000 {built-in method builtins.next}
      401    0.008    0.000    0.250    0.001 /usr/lib/python3.14/site-packages/matplotlib/quiver.py:551(_init)
    20853    0.042    0.000    0.250    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:102(_stale_axes_callback)
        1    0.000    0.000    0.245    0.245 /usr/lib/python3.14/site-packages/matplotlib/rcsetup.py:1(<module>)
   243349    0.244    0.000    0.244    0.000 {built-in method numpy.asarray}
851175/848619    0.239    0.000    0.241    0.000 {built-in method builtins.len}
     7512    0.012    0.000    0.239    0.000 /usr/lib/python3.14/inspect.py:771(getdoc)
      786    0.004    0.000    0.239    0.000 <frozen importlib._bootstrap_external>:947(get_data)
   607584    0.228    0.000    0.228    0.000 /usr/lib/python3.14/site-packages/matplotlib/_api/__init__.py:167(<genexpr>)
      400    0.022    0.000    0.225    0.001 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:3021(handle_single_axis)
    16858    0.166    0.000    0.223    0.000 /usr/lib/python3.14/site-packages/matplotlib/cbook.py:1752(normalize_kwargs)
        1    0.000    0.000    0.218    0.218 /usr/lib/python3.14/site-packages/matplotlib/cbook.py:1(<module>)
   114356    0.167    0.000    0.216    0.000 /usr/lib/python3.14/site-packages/matplotlib/_api/__init__.py:100(check_in_list)
        1    0.001    0.001    0.211    0.211 /usr/lib/python3.14/site-packages/numpy/__init__.py:1(<module>)
      786    0.209    0.000    0.209    0.000 {method 'read' of '_io.BufferedReader' objects}
      401    0.007    0.000    0.207    0.001 /usr/lib/python3.14/site-packages/matplotlib/figure.py:156(_get_draw_artists)
     8000    0.038    0.000    0.203    0.000 /usr/lib/python3.14/site-packages/matplotlib/markers.py:299(_set_marker)
      402    0.004    0.000    0.202    0.001 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:3318(grid)
      200    0.006    0.000    0.202    0.001 /usr/lib/python3.14/site-packages/matplotlib/quiver.py:509(__init__)
    35828    0.128    0.000    0.202    0.000 /usr/lib/python3.14/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
      402    0.003    0.000    0.200    0.000 /usr/lib/python3.14/site-packages/matplotlib/ticker.py:452(__init__)
     17/2    0.000    0.000    0.200    0.100 /usr/lib/python3.14/site-packages/gi/importer.py:121(create_module)
      804    0.006    0.000    0.198    0.000 /usr/lib/python3.14/site-packages/matplotlib/axis.py:1696(grid)
    17/14    0.001    0.000    0.196    0.014 /usr/lib/python3.14/site-packages/gi/overrides/__init__.py:94(load_overrides)
     1600    0.004    0.000    0.195    0.000 /usr/lib/python3.14/site-packages/matplotlib/lines.py:1049(get_path)
        1    0.000    0.000    0.195    0.195 /usr/lib/python3.14/site-packages/matplotlib/axes/_axes.py:1(<module>)
     4611    0.018    0.000    0.195    0.000 /usr/lib/python3.14/site-packages/matplotlib/font_manager.py:556(wrapper)
